pmt_id,payment_method_type,country,payment_method_type_name,pmt_type
979ea648-d124-11e8-ad14-060fa91e3c30,ewallet,MX,CESPE - Comisión Estatal de Servicios Públicos de Ensenada,mx_cespe30_utilitybills
9827ba58-d124-11e8-ad14-060fa91e3c30,ewallet,MX,Blue Telecomm,mx_bluetelecomm_utilitybills
9867d28d-d124-11e8-ad14-060fa91e3c30,ewallet,MX,CESPT - Comision Estatal de Servicios Publicos de Tijuana,mx_cespt_utilitybills
98c9f02c-d124-11e8-ad14-060fa91e3c30,ewallet,MX,CEA - Comisión Estatal de Aguas Querétaro [ACCOUNT],mx_ceaaccount_utilitybills
99acc41b-d124-11e8-ad14-060fa91e3c30,ewallet,MX,Telcel,mx_telcel_utilitybills
99e2013b-d124-11e8-ad14-060fa91e3c30,ewallet,MX,JAPAY - JUNTA DE AGUA POTABLE Y ALCANTARILLADO DE YUCATAN,mx_japay_utilitybills
99a7b6e4-d124-11e8-ad14-060fa91e3c30,ewallet,MX,CEA - Comisión Estatal de Aguas Querétaro [BARCODE],mx_ceabarcode_utilitybills
9f77068a-d125-11e8-ad14-060fa91e3c30,ewallet,MX,INTERNET AMIGO,mx_internetamigo_airtimetopup
95490504-d126-11e8-ad14-060fa91e3c30,ewallet,MX,TAETelcel,mx_taetelcel_airtimetopup
952dcd40-d126-11e8-ad14-060fa91e3c30,ewallet,MX,Gobierno del Estado de Mexico,mx_gdedm_utilitybills
954b41f1-d126-11e8-ad14-060fa91e3c30,ewallet,MX,AMIGO SL,mx_amigo_sl_airtimetopup
954d3c6b-d126-11e8-ad14-060fa91e3c30,ewallet,MX,TAEUNEFON,mx_taeunefon_airtimetopup
9637eff1-d126-11e8-ad14-060fa91e3c30,ewallet,MX,TAENEXTEL,mx_taenextel_airtimetopup
95f0bc7c-d126-11e8-ad14-060fa91e3c30,ewallet,MX,TAEIUSACELL,mx_taeiusacell_airtimetopup
2775a148-d127-11e8-ad14-060fa91e3c30,ewallet,MX,TAEMOVISTAR,mx_taemovistar_airtimetopup
38789f5d-d127-11e8-ad14-060fa91e3c30,ewallet,MX,TotalPlay [Barcode],mx_totalplay1_utilitybills
3975655e-d127-11e8-ad14-060fa91e3c30,ewallet,MX,COMAPA - Agua de Tamaulipa,mx_comapa_utilitybills
399fed89-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Telnor,mx_telnor1_utilitybills
3995738d-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Agua de Saltillo [Barcode],mx_aguadesaltillo_utilitybills
3964bd00-d127-11e8-ad14-060fa91e3c30,ewallet,MX,JAD - Agua de Matamoros [Barcode],mx_jad_utilitybills
3a723be2-d127-11e8-ad14-060fa91e3c30,ewallet,MX,JMAS - Chihuahua [Barcode],mx_jmas_utilitybills
3a55c6b4-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Multimedios Saltillo [Barcode],mx_multimedios_saltillo_utilitybills
3a745dc5-d127-11e8-ad14-060fa91e3c30,ewallet,MX,INTERAPAS (San Luis Potosi),mx_interapas_utilitybills
3a5f4b0e-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Telecable [Barcode],mx_telecable_utilitybills
3a596eb9-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Zacatecas [Barcode],mx_zacatecas_utilitybills
3a61c5a8-d127-11e8-ad14-060fa91e3c30,ewallet,MX,SEAPAL (Puerto Vallarta) [Barcode],mx_seapal_utilitybills
3ae87441-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Telmex [Barcode],mx_telmex1_utilitybills
3ae66b9b-d127-11e8-ad14-060fa91e3c30,ewallet,MX,AMD - Durango,mx_amd_utilitybills
3c8e1279-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Pase Urbano,mx_paseurbano_airtimetopup
3c89ab38-d127-11e8-ad14-060fa91e3c30,ewallet,MX,IAVE,mx_iave_utilitybills
3c3a55e5-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Televia,mx_televia_utilitybills
3dfa70e2-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Gobierno de la Ciudad de Mexico,mx_gdlcdm_utilitybills
3e5230b8-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Movistar [Barcode],mx_movistar_utilitybills
3e211043-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Tramites Vehiculares de Chihuahua (Tijuana),mx_tvdc_utilitybills
3e501d13-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Izzi,mx_izzi_utilitybills
3e4b42f5-d127-11e8-ad14-060fa91e3c30,ewallet,MX,TotalPlay,mx_totalplay2_utilitybills
3f5d4a5d-d127-11e8-ad14-060fa91e3c30,ewallet,MX,JUMAPA - Agua de Celaya [Barcode],mx_jumapa_utilitybills
3f5f8c01-d127-11e8-ad14-060fa91e3c30,ewallet,MX,AyDM - Agua y Drenaje Monterrey,mx_aydm_utilitybills
401b47ba-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Aguakan - Agua de Quintana Roo [Barcode],mx_aguakan_utilitybills
406c8941-d127-11e8-ad14-060fa91e3c30,ewallet,MX,CMAPAS - Agua de Salamanca,mx_cmapas_utilitybills
40efcd28-d127-11e8-ad14-060fa91e3c30,ewallet,MX,CFE [barcode],mx_cfe30_utilitybills
40f2fb6d-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Cablevision,mx_cablevision_utilitybills
40de03f4-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Iusacell/AT&T/Nextel,mx_iusacellatntnextel_utilitybills
40ed09ef-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Telnor [Barcode],mx_telnor2_utilitybills
40ad6654-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Cablemas [Barcode],mx_cablemas_utilitybills
41943603-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Megacable,mx_megacable1_utilitybills
42f11f4d-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Maxcom,mx_maxcom_utilitybills
44521c72-d127-11e8-ad14-060fa91e3c30,ewallet,MX,VeTV,mx_vetv_utilitybills
45b39b9a-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Siapa - Guadalajara [Barcode],mx_siapaguadalajara_utilitybills
470b7473-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Infonavit,mx_infonavit_utilitybills
